0-Mail_Box;2018-11-25 16:09:18.904885;2018-11-25 16:09:20.204016;
1-Mail_Box;2018-11-25 16:09:20.204986;2018-11-25 16:09:21.591691;
2-Mail_Box;2018-11-25 16:09:21.592760;2018-11-25 16:09:22.062449;
3-Mail_Box;2018-11-25 16:09:22.063140;2018-11-25 16:09:23.445190;
4-Mail_Box;2018-11-25 16:09:23.445945;2018-11-25 16:09:24.238009;
5-Mail_Box;2018-11-25 16:09:24.238439;2018-11-25 16:09:24.655552;
6-Mail_Box;2018-11-25 16:09:24.655948;2018-11-25 16:09:25.010768;
7-Mail_Box;2018-11-25 16:09:25.011199;2018-11-25 16:09:25.453619;
8-Mail_Box;2018-11-25 16:09:25.454386;2018-11-25 16:09:25.814361;
9-Mail_Box;2018-11-25 16:09:25.815016;2018-11-25 16:09:26.239319;
